,有價證券代號及名稱
1024,03001P　聯鈞中信43售01
1025,030020　臺股指群益3A購44
1026,030021　臺股指群益3C購04
1027,030022　臺股指群益3C購05
1028,030023　臺股指群益3C購06
1029,030024　臺股指群益3C購07
1030,030025　臺股指群益3C購08
1031,030026　電子類群益3C購01
1032,030027　電子類群益3C購02
1033,030028　華新元大3A購09
1034,030029　華新元大3A購10
1035,03002P　台灣50富邦3C售10
1036,030030　華新元大3A購11
1037,030031　華榮元大3A購07
1038,030032　大亞元大3A購09
1039,030033　大亞元大3A購10
1040,030034　合機元大3A購03
1041,030035　合機元大3C購01
1042,030036　合機元大41購01
1043,030037　美時元大3A購11
1044,030038　美時元大3A購12
1045,030039　美時元大3A購13
1046,03003P　台灣50富邦41售04
1047,030040　光寶科元大3B購02
1048,030041　聯電元大3A購07
1049,030042　聯電元大3A購08
1050,030043　聯電元大3A購09
1051,030044　鴻海元大3A購30
1052,030045　鴻海元大3A購31
1053,030046　鴻海元大3B購10
1054,030047　國巨元大3A購13
1055,030048　國巨元大3A購14
1056,030049　國巨元大3A購15
1057,03004P　世紀鋼富邦41售03
1058,030050　台積電元大3A購32
1059,030051　台積電元大3A購33
1060,030052　台積電元大3A購34
1061,030053　毅嘉元大3A購02
1062,030054　華新科元大3A購07
1063,030055　亞航元大3A購02
1064,030056　亞航元大3A購03
1065,030057　漢翔元大3A購03
1066,030058　漢翔元大3A購04
1067,030059　漢翔元大3A購05
1068,03005P　T50正2元富46售01
1069,03005T　台灣50兆豐38售01
1070,030060　緯創元大3A購17
1071,030061　緯創元大3C購06
1072,030062　弘憶股元大3A購01
1073,030063　創意元大3A購06
1074,030064　創意元大3A購07
1075,030065　創意元大3A購08
1076,030066　辛耘元大3A購07
1077,030067　辛耘元大3A購08
1078,030068　辛耘元大3C購02
1079,030069　上緯控元大3A購07
1080,03006P　台積電凱基3C售35
1081,03006X　元展06
1082,030070　聯德元大3A購02
1083,030071　全訊元大3A購04
1084,030072　聯茂元大3A購03
1085,030073　聯茂元大3A購04
1086,030074　聯茂元大3A購05
1087,030075　樺漢元大3A購06
1088,030076　樺漢元大3A購07
1089,030077　樺漢元大41購02
1090,030078　保瑞元大3A購08
1091,030079　保瑞元大3A購09
1092,03007P　台積電凱基3C售36
1093,03007X　元展07
1094,030080　保瑞元大3A購10
1095,030081　華東元大3A購02
1096,030082　臺股指元大41購12
1097,030083　臺股指元大41購13
1098,030084　臺股指元大41購14
1099,030085　臺股指元大41購15
1100,030086　臺股指元大41購16
1101,030087　大亞富邦41購01
1102,030088　光寶科富邦3A購04
1103,030089　光寶科富邦42購02
1104,03008P　台積電凱基41售20
1105,030090　聯電富邦42購01
1106,030091　京元電富邦3B購03
1107,030092　正文富邦3C購01
1108,030093　虹堡富邦41購01
1109,030094　崇越富邦3B購01
1110,030095　台積電第一3A購03
1111,030096　國泰金第一42購01
1112,030097　台泥國泰3C購01
1113,030098　川湖國泰3C購02
1114,030099　群光國泰3C購01
1115,03009P　滬深2X元大41售03
1116,030100　全新國泰3C購01
1117,030101　開發金國泰3C購01
1118,030102　神基國泰3C購01
1119,030103　嘉澤國泰3C購03
1120,030104　辛耘國泰3C購01
1121,030105　虹堡國泰3C購02
1122,030106　崇越國泰3C購01
1123,030107　帆宣國泰3C購01
1124,030108　晶碩國泰3C購02
1125,030109　達發國泰3C購01
1126,03010P　聯電元大3C售13
1127,03010X　元展10
1128,030110　嘉基國泰3C購02
1129,030111　華新台新3A購01
1130,030112　大亞台新3A購01
1131,030113　台達電台新3A購02
1132,030114　大亞中信3C購01
1133,030115　大同中信3C購01
1134,030116　牧德中信3A購01
1135,030117　辛耘中信3B購01
1136,030118　崇越中信3A購01
1137,030119　達發中信3A購02
1138,03011P　金像電元大3C售08
1139,030120　臺股指中信41購02
1140,030121　T50正2永豐3C購01
1141,030122　元黃金永豐3C購01
1142,030123　香港2X永豐3A購02
1143,030124　鴻海永豐41購03
1144,030125　鴻海永豐42購04
1145,030126　國巨永豐3A購02
1146,030127　台積電永豐3C購05
1147,030128　智邦永豐3A購01
1148,030129　海悅永豐3B購01
1149,03012P　聯發科元大3C售13
1150,03012X　元展12
1151,030130　大同永豐3B購02
1152,030131　大同永豐41購01
1153,030132　嘉晶永豐3B購01
1154,030133　奇鋐永豐3A購08
1155,030134　緯創永豐41購03
1156,030135　辛耘永豐41購02
1157,030136　上緯控永豐3A購01
1158,030137　同欣電永豐3B購01
1159,030138　達發永豐3A購01
1160,030139　臺股指永豐3A購07
1161,03013P　臺股指法興3C售05
1162,03013X　元展13
1163,030140　臺股指永豐3A購08
1164,030141　華新統一44購01
1165,030142　華新統一44購02
1166,030143　中華統一44購01
1167,030144　長榮鋼統一47購01
1168,030145　鴻海統一54購02
1169,030146　廣宇統一47購01
1170,030147　海悅統一44購02
1171,030148　海悅統一44購03
1172,030149　海悅統一47購01
1173,03014P　臺股指法興3C售06
1174,03014X　元展14
1175,030150　大同統一4A購02
1176,030151　聯發科統一54購01
1177,030152　志聖統一43購01
1178,030153　志聖統一47購02
1179,030154　陽明統一44購02
1180,030155　神基統一44購02
1181,030156　嘉晶統一49購01
1182,030157　創意統一44購04
1183,030158　群創統一44購01
1184,030159　嘉澤統一44購04
1185,03015P　臺股指法興3C售07
1186,03015X　元展15
1187,030160　辛耘統一44購03
1188,030161　辛耘統一47購02
1189,030162　碩天統一44購02
